telegram,Fastest Finisher ($20),Best Project ($50),Best Social Engagement ($50),payout_wallet,Total Reward ($)
@emhaihsan,TRUE,TRUE,TRUE,0x89D02B93379952B0C5aC0354724165Da2Ce3146B,120
@jayy4rl,TRUE,TRUE,TRUE,0x925c164A113D7fbF28D31f4838A39c30Ee881c9e,120
@ogazboiz,TRUE,TRUE,TRUE,0xa479b8c6030cBB01f8E9F6AcB2Ad2C757C81894d,120
@alzzaaaaff,TRUE,FALSE,TRUE,0xf8657758483cBCea9cBcCD248Cf2Ec08F3C1b0Aa,70
@Lagxys,TRUE,FALSE,TRUE,0x69b05304518d981df225fb5a3d65f398e7223c44,70
@mrwicks00,TRUE,TRUE,FALSE,0xbe1FA10720fe43B781e3796296C01b0E9a7cdd07,70
@naufalfzml,TRUE,TRUE,FALSE,0xF11bb30b57291fe93880BC39afEFaCbD900d6962,70
@raihanmddd,TRUE,FALSE,TRUE,0x79fa22CD0aB3F2a20d5D40Ca43cFDe84cC0DccCA,70
@ruddypp,TRUE,TRUE,FALSE,0xAE43F043005e3f750Dbfb0a7D712fEC7e580b7c3,70
@sztch,TRUE,FALSE,TRUE,0xf533b06b167559a261439a8b1a9DBdfCb543db1e,70
@wayphantomme,TRUE,FALSE,TRUE,0x1Daa1EFD9Adf43eC16fE2bBE7671cCD3E329A215,70
@Sopiloo,TRUE,TRUE,FALSE,0xD3413114C3a1A7052Eff601a497f4E54E1D5B525,70
@asamarsal,FALSE,FALSE,TRUE,0xFeff727205Fe524A3A8A16C404FeC9Cfe4124aCd,50
@Beulah_Ude,FALSE,FALSE,TRUE,0x16C4625694de03bA54D801531dFb8c0253D359c4,50
@isallkun,FALSE,FALSE,TRUE,0x3982F9Ee8899B2665135Cf6d290FBB440eB31057,50
@Joy_Om7,FALSE,FALSE,TRUE,0xCd1A1D3f2f70d7eEc847dC04815b704C2a19d22C,50
@alifadepe,TRUE,FALSE,FALSE,0x675B8C10670866de583579F5b270FC0C22b26606,20
@blurbeast,TRUE,FALSE,FALSE,0x5d6Ae00d78597FAECb425cc1D947a7722C449012,20
@diananov11,TRUE,FALSE,FALSE,0xae38b3Dd81B92E8Bd939Ad70dcB82765c9A5c2E5,20
@dmystical_coder,TRUE,FALSE,FALSE,0x579764ccA932Ac5BDa55b70F127B8355113e6334,20
@drw0x,TRUE,FALSE,FALSE,0x2D80840c9fEAfDF43C3d77Be1B13cbd64BbBC096,20
@gentlebukan,TRUE,FALSE,FALSE,0xf59f983031B44dD98746198b53cA5019948447AA,20
@itskindavito,TRUE,FALSE,FALSE,0x860824857E43bfE93746DF499A0Ac2f20b21f759,20
@lemontea18,TRUE,FALSE,FALSE,0xE5a64d9EC2a6e7280a7F4C38E47cAb6389038978,20
@mattosi,TRUE,FALSE,FALSE,0xA35D2C518710D3f953Ce4F69CDDEAaFc0c6b156c,20
@Methely,TRUE,FALSE,FALSE,0x972d1be405DcFcD32DD95743934693B673e3F2B0,20
@Millburncrack,TRUE,FALSE,FALSE,0xe98540d28F45830E01D237251Bfc4777E69c9A46,20
@Mr_simze,TRUE,FALSE,FALSE,0x69d732e00faA8D7753507fcF1336144BF894a286,20
@munubiz,TRUE,FALSE,FALSE,0x4f8Ba4d284B880A2f351938Ce14e8B0e868E781d,20
@nugi123asd,TRUE,FALSE,FALSE,0x3a6274107d9533e017a1ff6c799797b84112bb9c,20
@OwenDev,TRUE,FALSE,FALSE,0x89a68d0731F9Bc419d606f1F31Ead04c3fBDFdd6,20
@Panda_245,TRUE,FALSE,FALSE,0xF9a5483392b6f13e7eFE8ab3Dc8E172739682cC9,20
@uchechukwuekezie,TRUE,FALSE,FALSE,0xCcad7cEe6F98729EAD546fE8dC8a9B77d458F42b,20
